Trial,WaterTrt,MetaTrt,DetCode,Well ID,Well,Sample,Detector,Task,Ct,Ct Std Err,Avg Ct,Avg dCt,dCt Std Err,ddCt,RQ,RQ Min,RQ Max,Omit,Filtered,Threshold,Auto Ct,Baseline,Start,End
Tr1,deficit,uninoculated,_,1,A1,2,LOX1,Target,29.694,0.113,29.905,6.028,0.114,-2.754,6.748,5.423,8.396,,,0.355027,Auto,Auto,5,24
Tr1,deficit,uninoculated,_,2,A2,5,LOX1,Target,34.45,0.193,34.602,9.324,0.211,0.542,0.687,0.458,1.031,,,0.355027,Auto,Auto,5,28
Tr1,deficit,inoculated,Det,3,A3,13,LOX1,Target,31.4,0.357,32.106,7.576,0.358,-1.206,2.308,1.048,5.081,,,0.355027,Auto,Auto,5,25
Tr1,deficit,inoculated,Det,4,A4,15,LOX1,Target,27.272,0.263,26.937,2.133,0.475,-6.649,100.352,35.18,286.257,,,0.355027,Auto,Auto,5,21
Tr1,adequate,uninoculated,_,5,A5,28,LOX1,Target,36.396,0.019,34.2,9.122,0.074,0.34,0.79,0.672,0.929,,Outlier,0.355027,Auto,Auto,5,31
Tr1,adequate,uninoculated,_,6,A6,29,LOX1,Target,34.478,0.366,33.765,8.782,0.407,0,1,0.457,2.188,,,0.355027,Auto,Auto,5,28
Tr1,adequate,inoculated,Det,7,A7,39,LOX1,Target,30.412,0.631,31.079,5.572,0.637,-3.21,9.255,2.719,31.507,,,0.355027,Auto,Auto,5,24
Tr1,excess,uninoculated,_,8,A8,45,LOX1,Target,34.052,0.247,34.273,8.874,0.264,0.092,0.938,0.564,1.56,,,0.355027,Auto,Auto,5,28
Tr1,excess,uninoculated,_,9,A9,46,LOX1,Target,31.998,0.088,32.094,5.853,0.135,-2.929,7.618,5.876,9.877,,,0.355027,Auto,Auto,5,25
Tr1,excess,inoculated,Det,10,A10,53,LOX1,Target,32.53,0.215,32.231,7.174,0.235,-1.608,3.047,1.939,4.79,,,0.355027,Auto,Auto,5,25
Tr1,excess,inoculated,ND,11,A11,55,LOX1,Target,36.597,0.202,36.798,3.156,0.242,-5.626,49.383,28.934,84.283,,,0.355027,Auto,Auto,5,31
Tr1,deficit,uninoculated,_,13,B1,2,LOX1,Target,30.081,0.113,29.905,6.028,0.114,-2.754,6.748,5.423,8.396,,,0.355027,Auto,Auto,5,24
Tr1,deficit,uninoculated,_,14,B2,5,LOX1,Target,34.371,0.193,34.602,9.324,0.211,0.542,0.687,0.458,1.031,,,0.355027,Auto,Auto,5,28
Tr1,deficit,inoculated,Det,15,B3,13,LOX1,Target,32.55,0.357,32.106,7.576,0.358,-1.206,2.308,1.048,5.081,,,0.355027,Auto,Auto,5,25
Tr1,deficit,inoculated,Det,16,B4,15,LOX1,Target,26.418,0.263,26.937,2.133,0.475,-6.649,100.352,35.18,286.257,,,0.355027,Auto,Auto,5,20
Tr1,adequate,uninoculated,_,17,B5,28,LOX1,Target,34.182,0.019,34.2,9.122,0.074,0.34,0.79,0.672,0.929,,,0.355027,Auto,Auto,5,28
Tr1,adequate,uninoculated,_,18,B6,29,LOX1,Target,33.555,0.366,33.765,8.782,0.407,0,1,0.457,2.188,,,0.355027,Auto,Auto,5,26
Tr1,adequate,inoculated,Det,19,B7,39,LOX1,Target,30.486,0.631,31.079,5.572,0.637,-3.21,9.255,2.719,31.507,,,0.355027,Auto,Auto,5,24
Tr1,excess,uninoculated,_,20,B8,45,LOX1,Target,34.766,0.247,34.273,8.874,0.264,0.092,0.938,0.564,1.56,,,0.355027,Auto,Auto,5,29
Tr1,excess,uninoculated,_,21,B9,46,LOX1,Target,32.014,0.088,32.094,5.853,0.135,-2.929,7.618,5.876,9.877,,,0.355027,Auto,Auto,5,25
Tr1,excess,inoculated,Det,22,B10,53,LOX1,Target,31.815,0.215,32.231,7.174,0.235,-1.608,3.047,1.939,4.79,,,0.355027,Auto,Auto,5,25
Tr1,excess,inoculated,ND,23,B11,55,LOX1,Target,37,0.202,36.798,3.156,0.242,-5.626,49.383,28.934,84.283,,,0.355027,Auto,Auto,5,31
Tr1,deficit,uninoculated,_,25,C1,2,LOX1,Target,29.939,0.113,29.905,6.028,0.114,-2.754,6.748,5.423,8.396,,,0.355027,Auto,Auto,5,24
Tr1,deficit,uninoculated,_,26,C2,5,LOX1,Target,34.985,0.193,34.602,9.324,0.211,0.542,0.687,0.458,1.031,,,0.355027,Auto,Auto,5,29
Tr1,deficit,inoculated,Det,27,C3,13,LOX1,Target,32.368,0.357,32.106,7.576,0.358,-1.206,2.308,1.048,5.081,,,0.355027,Auto,Auto,5,26
Tr1,deficit,inoculated,Det,28,C4,15,LOX1,Target,27.122,0.263,26.937,2.133,0.475,-6.649,100.352,35.18,286.257,,,0.355027,Auto,Auto,5,21
Tr1,adequate,uninoculated,_,29,C5,28,LOX1,Target,34.219,0.019,34.2,9.122,0.074,0.34,0.79,0.672,0.929,,,0.355027,Auto,Auto,5,28
Tr1,adequate,uninoculated,_,30,C6,29,LOX1,Target,33.262,0.366,33.765,8.782,0.407,0,1,0.457,2.188,,,0.355027,Auto,Auto,5,26
Tr1,adequate,inoculated,Det,31,C7,39,LOX1,Target,32.34,0.631,31.079,5.572,0.637,-3.21,9.255,2.719,31.507,,,0.355027,Auto,Auto,5,26
Tr1,excess,uninoculated,_,32,C8,45,LOX1,Target,34.002,0.247,34.273,8.874,0.264,0.092,0.938,0.564,1.56,,,0.355027,Auto,Auto,5,28
Tr1,excess,uninoculated,_,33,C9,46,LOX1,Target,32.27,0.088,32.094,5.853,0.135,-2.929,7.618,5.876,9.877,,,0.355027,Auto,Auto,5,25
Tr1,excess,inoculated,Det,34,C10,53,LOX1,Target,32.347,0.215,32.231,7.174,0.235,-1.608,3.047,1.939,4.79,,,0.355027,Auto,Auto,5,25
Tr1,excess,inoculated,ND,35,C11,55,LOX1,Target,Undet.,,36.798,3.156,0.242,-5.626,49.383,28.934,84.283,,,0.355027,Auto,Auto,5,39
Tr2,deficit,uninoculated,_,1,A1,1,LOX1,Target,31.91,0.918,31.765,6.78,0.919,-2.691,6.457,1.102,37.846,,,0.063153,Auto,Auto,5,29
Tr2,deficit,uninoculated,_,2,A2,5,LOX1,Target,32.381,0.437,32.553,7.84,0.438,-1.631,3.098,1.334,7.193,,,0.063153,Auto,Auto,5,29
Tr2,deficit,inoculated,Det,3,A3,12,LOX1,Target,32.561,0.135,32.426,8.525,0.148,-0.945,1.925,1.389,2.669,,,0.063153,Auto,Auto,5,29
Tr2,deficit,inoculated,Det,4,A4,13,LOX1,Target,32.187,0.646,32.604,7.826,0.652,-1.645,3.127,0.892,10.964,,,0.063153,Auto,Auto,5,29
Tr2,adequate,uninoculated,_,5,A5,24,LOX1,Target,35.81,1.851,33.959,8.877,1.854,-0.594,1.509,0.025,90.111,,,0.063153,Auto,Auto,5,32
Tr2,adequate,uninoculated,_,6,A6,25,LOX1,Target,31.764,2.276,33.49,9.471,2.277,0,1,0.012,80.067,,,0.063153,Auto,Auto,5,28
Tr2,adequate,inoculated,Det,7,A7,32,LOX1,Target,33.218,0.043,33.175,7.421,0.182,-2.05,4.141,2.769,6.191,,,0.063153,Auto,Auto,5,29
Tr2,adequate,inoculated,Det,8,A8,35,LOX1,Target,32.105,0.897,30.334,4.785,0.905,-4.686,25.734,4.51,146.831,,,0.063153,Auto,Auto,5,29
Tr2,excess,uninoculated,_,9,A9,44,LOX1,Target,31.069,0.575,30.052,4.552,0.586,-4.918,30.239,9.792,93.382,,,0.063153,Auto,Auto,5,28
Tr2,excess,uninoculated,_,10,A10,45,LOX1,Target,32.302,0.768,32.492,7.073,0.779,-2.398,5.27,1.178,23.58,,,0.063153,Auto,Auto,5,29
Tr2,excess,inoculated,Det,11,A11,51,LOX1,Target,Undet.,,31.665,6.096,0.445,-3.375,10.374,3.887,27.687,,,0.063153,Auto,Auto,5,39
Tr2,excess,inoculated,Det,12,A12,55,LOX1,Target,31.227,0.52,32.163,7.186,0.53,-2.285,4.873,1.757,13.518,,,0.063153,Auto,Auto,5,28
Tr2,deficit,uninoculated,_,13,B1,1,LOX1,Target,30.106,0.918,31.765,6.78,0.919,-2.691,6.457,1.102,37.846,,,0.063153,Auto,Auto,5,26
Tr2,deficit,uninoculated,_,14,B2,5,LOX1,Target,31.897,0.437,32.553,7.84,0.438,-1.631,3.098,1.334,7.193,,,0.063153,Auto,Auto,5,29
Tr2,deficit,inoculated,Det,15,B3,12,LOX1,Target,Undet.,,32.426,8.525,0.148,-0.945,1.925,1.389,2.669,,,0.063153,Auto,Auto,5,35
Tr2,deficit,inoculated,Det,16,B4,13,LOX1,Target,33.872,0.646,32.604,7.826,0.652,-1.645,3.127,0.892,10.964,,,0.063153,Auto,Auto,5,30
Tr2,adequate,uninoculated,_,17,B5,24,LOX1,Target,Undet.,,33.959,8.877,1.854,-0.594,1.509,0.025,90.111,,,0.063153,Auto,Auto,5,39
Tr2,adequate,uninoculated,_,18,B6,25,LOX1,Target,38,2.276,33.49,9.471,2.277,0,1,0.012,80.067,,,0.063153,Auto,Auto,5,34
Tr2,adequate,inoculated,Det,19,B7,32,LOX1,Target,37.61,0.043,33.175,7.421,0.182,-2.05,4.141,2.769,6.191,,Outlier,0.063153,Auto,Auto,5,34
Tr2,adequate,inoculated,Det,20,B8,35,LOX1,Target,29.687,0.897,30.334,4.785,0.905,-4.686,25.734,4.51,146.831,,,0.063153,Auto,Auto,5,26
Tr2,excess,uninoculated,_,21,B9,44,LOX1,Target,30.009,0.575,30.052,4.552,0.586,-4.918,30.239,9.792,93.382,,,0.063153,Auto,Auto,5,26
Tr2,excess,uninoculated,_,22,B10,45,LOX1,Target,33.907,0.768,32.492,7.073,0.779,-2.398,5.27,1.178,23.58,,,0.063153,Auto,Auto,5,30
Tr2,excess,inoculated,Det,23,B11,51,LOX1,Target,32.11,0.445,31.665,6.096,0.445,-3.375,10.374,3.887,27.687,,,0.063153,Auto,Auto,5,29
Tr2,excess,inoculated,Det,24,B12,55,LOX1,Target,33.024,0.52,32.163,7.186,0.53,-2.285,4.873,1.757,13.518,,,0.063153,Auto,Auto,5,29
Tr2,deficit,uninoculated,_,25,C1,1,LOX1,Target,33.278,0.918,31.765,6.78,0.919,-2.691,6.457,1.102,37.846,,,0.063153,Auto,Auto,5,29
Tr2,deficit,uninoculated,_,26,C2,5,LOX1,Target,33.381,0.437,32.553,7.84,0.438,-1.631,3.098,1.334,7.193,,,0.063153,Auto,Auto,5,29
Tr2,deficit,inoculated,Det,27,C3,12,LOX1,Target,32.291,0.135,32.426,8.525,0.148,-0.945,1.925,1.389,2.669,,,0.063153,Auto,Auto,5,29
Tr2,deficit,inoculated,Det,28,C4,13,LOX1,Target,31.754,0.646,32.604,7.826,0.652,-1.645,3.127,0.892,10.964,,,0.063153,Auto,Auto,5,28
Tr2,adequate,uninoculated,_,29,C5,24,LOX1,Target,32.108,1.851,33.959,8.877,1.854,-0.594,1.509,0.025,90.111,,,0.063153,Auto,Auto,5,29
Tr2,adequate,uninoculated,_,30,C6,25,LOX1,Target,30.707,2.276,33.49,9.471,2.277,0,1,0.012,80.067,,,0.063153,Auto,Auto,5,27
Tr2,adequate,inoculated,Det,31,C7,32,LOX1,Target,33.132,0.043,33.175,7.421,0.182,-2.05,4.141,2.769,6.191,,,0.063153,Auto,Auto,5,29
Tr2,adequate,inoculated,Det,32,C8,35,LOX1,Target,29.209,0.897,30.334,4.785,0.905,-4.686,25.734,4.51,146.831,,,0.063153,Auto,Auto,5,25
Tr2,excess,uninoculated,_,33,C9,44,LOX1,Target,29.078,0.575,30.052,4.552,0.586,-4.918,30.239,9.792,93.382,,,0.063153,Auto,Auto,5,25
Tr2,excess,uninoculated,_,34,C10,45,LOX1,Target,31.268,0.768,32.492,7.073,0.779,-2.398,5.27,1.178,23.58,,,0.063153,Auto,Auto,5,28
Tr2,excess,inoculated,Det,35,C11,51,LOX1,Target,31.221,0.445,31.665,6.096,0.445,-3.375,10.374,3.887,27.687,,,0.063153,Auto,Auto,5,28
Tr2,excess,inoculated,Det,36,C12,55,LOX1,Target,32.239,0.52,32.163,7.186,0.53,-2.285,4.873,1.757,13.518,,,0.063153,Auto,Auto,5,29
Tr3,deficit,uninoculated,_,1,A1,6,LOX1,Target,30.891,0.126,30.641,6.332,0.127,-1.73,3.318,2.599,4.236,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,2,A2,9,LOX1,Target,33.206,0.176,33.397,8.16,0.185,0.098,0.935,0.654,1.336,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,3,A3,17,LOX1,Target,32.286,0.078,32.243,8.062,0.092,0,1,0.837,1.195,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,4,A4,18,LOX1,Target,35.683,0.243,35.68,10.469,0.26,2.407,0.189,0.114,0.311,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,5,A5,26,LOX1,Target,34.743,0.181,34.746,10.606,0.209,2.544,0.171,0.115,0.256,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,6,A6,30,LOX1,Target,32.902,0.148,33.022,9.615,0.22,1.553,0.341,0.223,0.521,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,7,A7,36,LOX1,Target,35.294,0.164,35.058,10.435,0.43,2.373,0.193,0.084,0.442,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,8,A8,37,LOX1,Target,34.395,0.016,34.41,8.727,0.281,0.665,0.631,0.339,1.171,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,9,A9,46,LOX1,Target,35.084,0.073,34.963,9.874,0.103,1.811,0.285,0.234,0.347,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,10,A10,50,LOX1,Target,36.427,0.287,36.14,8.531,0.308,0.469,0.723,0.367,1.424,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,11,A11,57,LOX1,Target,36.509,0.269,36.273,10.473,0.29,2.411,0.188,0.108,0.329,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,12,A12,59,LOX1,Target,33.123,0.007,33.137,7.733,0.106,-0.329,1.256,1.025,1.54,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,13,B1,6,LOX1,Target,30.547,0.126,30.641,6.332,0.127,-1.73,3.318,2.599,4.236,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,14,B2,9,LOX1,Target,33.748,0.176,33.397,8.16,0.185,0.098,0.935,0.654,1.336,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,15,B3,17,LOX1,Target,32.093,0.078,32.243,8.062,0.092,0,1,0.837,1.195,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,16,B4,18,LOX1,Target,35.257,0.243,35.68,10.469,0.26,2.407,0.189,0.114,0.311,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,17,B5,26,LOX1,Target,34.433,0.181,34.746,10.606,0.209,2.544,0.171,0.115,0.256,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,18,B6,30,LOX1,Target,33.317,0.148,33.022,9.615,0.22,1.553,0.341,0.223,0.521,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,19,B7,36,LOX1,Target,35.137,0.164,35.058,10.435,0.43,2.373,0.193,0.084,0.442,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,20,B8,37,LOX1,Target,36.906,0.016,34.41,8.727,0.281,0.665,0.631,0.339,1.171,,Outlier,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,21,B9,46,LOX1,Target,34.832,0.073,34.963,9.874,0.103,1.811,0.285,0.234,0.347,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,22,B10,50,LOX1,Target,Undet.,,36.14,8.531,0.308,0.469,0.723,0.367,1.424,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,23,B11,57,LOX1,Target,35.737,0.269,36.273,10.473,0.29,2.411,0.188,0.108,0.329,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,24,B12,59,LOX1,Target,33.144,0.007,33.137,7.733,0.106,-0.329,1.256,1.025,1.54,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,25,C1,6,LOX1,Target,30.485,0.126,30.641,6.332,0.127,-1.73,3.318,2.599,4.236,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,26,C2,9,LOX1,Target,33.238,0.176,33.397,8.16,0.185,0.098,0.935,0.654,1.336,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,27,C3,17,LOX1,Target,32.351,0.078,32.243,8.062,0.092,0,1,0.837,1.195,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,28,C4,18,LOX1,Target,36.099,0.243,35.68,10.469,0.26,2.407,0.189,0.114,0.311,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,29,C5,26,LOX1,Target,35.062,0.181,34.746,10.606,0.209,2.544,0.171,0.115,0.256,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,30,C6,30,LOX1,Target,32.846,0.148,33.022,9.615,0.22,1.553,0.341,0.223,0.521,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,31,C7,36,LOX1,Target,34.744,0.164,35.058,10.435,0.43,2.373,0.193,0.084,0.442,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,32,C8,37,LOX1,Target,34.426,0.016,34.41,8.727,0.281,0.665,0.631,0.339,1.171,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,33,C9,46,LOX1,Target,34.973,0.073,34.963,9.874,0.103,1.811,0.285,0.234,0.347,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,34,C10,50,LOX1,Target,35.852,0.287,36.14,8.531,0.308,0.469,0.723,0.367,1.424,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,35,C11,57,LOX1,Target,36.574,0.269,36.273,10.473,0.29,2.411,0.188,0.108,0.329,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,36,C12,59,LOX1,Target,33.144,0.007,33.137,7.733,0.106,-0.329,1.256,1.025,1.54,,,0.2,Manual,Manual,3,15