Trial ,WaterTrt,MetaTrt,DetectionCode,Well ID,Well,Sample,Detector,Task,Ct,Ct Std Dev,Avg Ct,Avg dCt,dCt Std Dev,ddCt,RQ,RQ Min (1 Std Dev),RQ Max (1 Std Dev),Omit,Filtered,Threshold,Auto Ct,Baseline,Start,End
Tr1,deficit,uninoculated,_,1,A1,2,MYB,Target,27.315,0.293,27.078,3.338,0.328,0.443,0.736,0.586,0.924,,,0.2,Manual,Manual,,
Tr1,deficit,uninoculated,_,2,A2,5,MYB,Target,28.522,0.229,28.775,3.584,0.23,0.689,0.62,0.529,0.728,,,0.2,Manual,Manual,,
Tr1,deficit,inoculated,Det,3,A3,13,MYB,Target,27.575,0.292,27.24,2.928,0.296,0.033,0.977,0.796,1.2,,,0.2,Manual,Manual,,
Tr1,deficit,inoculated,Det,4,A4,15,MYB,Target,28.469,0.19,28.275,3.266,0.199,0.37,0.774,0.674,0.888,,,0.2,Manual,Manual,,
Tr1,adequate,uninoculated,_,5,A5,28,MYB,Target,27.958,0.299,27.615,2.447,0.314,-0.448,1.364,1.097,1.696,,,0.2,Manual,Manual,,
Tr1,adequate,uninoculated,_,6,A6,29,MYB,Target,28.095,0.27,27.802,2.895,0.313,0,1,0.805,1.242,,,0.2,Manual,Manual,,
Tr1,adequate,inoculated,Det,7,A7,39,MYB,Target,28.54,0.146,28.385,3.059,0.205,0.164,0.893,0.774,1.029,,,0.2,Manual,Manual,,
Tr1,excess,uninoculated,_,8,A8,45,MYB,Target,29.269,0.308,28.963,3.731,0.358,0.835,0.56,0.437,0.718,,,0.2,Manual,Manual,,
Tr1,excess,uninoculated,_,9,A9,46,MYB,Target,30.196,0.356,29.824,3.743,0.406,0.848,0.556,0.419,0.736,,,0.2,Manual,Manual,,
Tr1,excess,inoculated,Det,10,A10,53,MYB,Target,29.307,0.226,29.052,3.926,0.332,1.031,0.489,0.389,0.616,,,0.2,Manual,Manual,,
Tr1,deficit,uninoculated,_,13,B1,2,MYB,Target,27.169,0.293,27.078,3.338,0.328,0.443,0.736,0.586,0.924,,,0.2,Manual,Manual,,
Tr1,deficit,uninoculated,_,14,B2,5,MYB,Target,28.966,0.229,28.775,3.584,0.23,0.689,0.62,0.529,0.728,,,0.2,Manual,Manual,,
Tr1,deficit,inoculated,Det,15,B3,13,MYB,Target,27.106,0.292,27.24,2.928,0.296,0.033,0.977,0.796,1.2,,,0.2,Manual,Manual,,
Tr1,deficit,inoculated,Det,16,B4,15,MYB,Target,28.269,0.19,28.275,3.266,0.199,0.37,0.774,0.674,0.888,,,0.2,Manual,Manual,,
Tr1,adequate,uninoculated,_,17,B5,28,MYB,Target,27.406,0.299,27.615,2.447,0.314,-0.448,1.364,1.097,1.696,,,0.2,Manual,Manual,,
Tr1,adequate,uninoculated,_,18,B6,29,MYB,Target,27.748,0.27,27.802,2.895,0.313,0,1,0.805,1.242,,,0.2,Manual,Manual,,
Tr1,adequate,inoculated,Det,19,B7,39,MYB,Target,28.366,0.146,28.385,3.059,0.205,0.164,0.893,0.774,1.029,,,0.2,Manual,Manual,,
Tr1,excess,uninoculated,_,20,B8,45,MYB,Target,28.968,0.308,28.963,3.731,0.358,0.835,0.56,0.437,0.718,,,0.2,Manual,Manual,,
Tr1,excess,uninoculated,_,21,B9,46,MYB,Target,29.79,0.356,29.824,3.743,0.406,0.848,0.556,0.419,0.736,,,0.2,Manual,Manual,,
Tr1,excess,inoculated,Det,22,B10,53,MYB,Target,28.971,0.226,29.052,3.926,0.332,1.031,0.489,0.389,0.616,,,0.2,Manual,Manual,,
Tr1,deficit,uninoculated,_,25,C1,2,MYB,Target,26.751,0.293,27.078,3.338,0.328,0.443,0.736,0.586,0.924,,,0.2,Manual,Manual,,
Tr1,deficit,uninoculated,_,26,C2,5,MYB,Target,28.838,0.229,28.775,3.584,0.23,0.689,0.62,0.529,0.728,,,0.2,Manual,Manual,,
Tr1,deficit,inoculated,Det,27,C3,13,MYB,Target,27.038,0.292,27.24,2.928,0.296,0.033,0.977,0.796,1.2,,,0.2,Manual,Manual,,
Tr1,deficit,inoculated,Det,28,C4,15,MYB,Target,28.088,0.19,28.275,3.266,0.199,0.37,0.774,0.674,0.888,,,0.2,Manual,Manual,,
Tr1,adequate,uninoculated,_,29,C5,28,MYB,Target,27.483,0.299,27.615,2.447,0.314,-0.448,1.364,1.097,1.696,,,0.2,Manual,Manual,,
Tr1,adequate,uninoculated,_,30,C6,29,MYB,Target,27.563,0.27,27.802,2.895,0.313,0,1,0.805,1.242,,,0.2,Manual,Manual,,
Tr1,adequate,inoculated,Det,31,C7,39,MYB,Target,28.25,0.146,28.385,3.059,0.205,0.164,0.893,0.774,1.029,,,0.2,Manual,Manual,,
Tr1,excess,uninoculated,_,32,C8,45,MYB,Target,28.653,0.308,28.963,3.731,0.358,0.835,0.56,0.437,0.718,,,0.2,Manual,Manual,,
Tr1,excess,uninoculated,_,33,C9,46,MYB,Target,29.485,0.356,29.824,3.743,0.406,0.848,0.556,0.419,0.736,,,0.2,Manual,Manual,,
Tr1,excess,inoculated,Det,34,C10,53,MYB,Target,28.878,0.226,29.052,3.926,0.332,1.031,0.489,0.389,0.616,,,0.2,Manual,Manual,,
Tr2,deficit,uninoculated,_,1,A1,1,MYB,Target,27.231,0.161,27.07,2.998,0.182,-0.476,1.391,1.226,1.577,,,0.2,Manual,Manual,3,15
Tr2,deficit,uninoculated,_,2,A2,5,MYB,Target,27.12,0.162,27.053,3.392,0.179,-0.082,1.058,0.935,1.198,,,0.2,Manual,Manual,3,15
Tr2,deficit,inoculated,Det,3,A3,12,MYB,Target,25.652,0.321,25.284,2.423,0.334,-1.051,2.072,1.643,2.612,,,0.2,Manual,Manual,3,15
Tr2,deficit,inoculated,Det,4,A4,13,MYB,Target,27.246,0.348,26.894,3.132,0.37,-0.342,1.267,0.98,1.638,,,0.2,Manual,Manual,3,15
Tr2,adequate,uninoculated,_,5,A5,24,MYB,Target,27.892,0.394,27.471,3.474,0.42,0,1,0.747,1.338,,,0.2,Manual,Manual,3,15
Tr2,adequate,uninoculated,_,6,A6,25,MYB,Target,26.963,0.393,26.722,3.635,0.471,0.161,0.895,0.645,1.24,,,0.2,Manual,Manual,3,15
Tr2,adequate,inoculated,Det,7,A7,32,MYB,Target,26.572,0.282,26.262,2.058,0.287,-1.415,2.667,2.186,3.254,,,0.2,Manual,Manual,3,15
Tr2,adequate,inoculated,Det,8,A8,35,MYB,Target,28.677,0.266,28.374,4.041,0.297,0.567,0.675,0.549,0.83,,,0.2,Manual,Manual,3,15
Tr2,excess,uninoculated,_,9,A9,44,MYB,Target,27.105,0.317,26.745,2.445,0.326,-1.029,2.04,1.628,2.557,,,0.2,Manual,Manual,3,15
Tr2,excess,uninoculated,_,10,A10,45,MYB,Target,27.969,0.166,27.796,3.584,0.188,0.11,0.927,0.813,1.055,,,0.2,Manual,Manual,3,15
Tr2,excess,inoculated,Det,11,A11,51,MYB,Target,28.877,0.222,28.623,4.319,0.224,0.846,0.557,0.477,0.65,,,0.2,Manual,Manual,3,15
Tr2,excess,inoculated,Det,12,A12,55,MYB,Target,27.625,0.17,27.431,3.365,0.208,-0.109,1.079,0.933,1.246,,,0.2,Manual,Manual,3,15
Tr2,deficit,uninoculated,_,13,B1,1,MYB,Target,27.07,0.161,27.07,2.998,0.182,-0.476,1.391,1.226,1.577,,,0.2,Manual,Manual,3,15
Tr2,deficit,uninoculated,_,14,B2,5,MYB,Target,27.172,0.162,27.053,3.392,0.179,-0.082,1.058,0.935,1.198,,,0.2,Manual,Manual,3,15
Tr2,deficit,inoculated,Det,15,B3,12,MYB,Target,25.143,0.321,25.284,2.423,0.334,-1.051,2.072,1.643,2.612,,,0.2,Manual,Manual,3,15
Tr2,deficit,inoculated,Det,16,B4,13,MYB,Target,26.885,0.348,26.894,3.132,0.37,-0.342,1.267,0.98,1.638,,,0.2,Manual,Manual,3,15
Tr2,adequate,uninoculated,_,17,B5,24,MYB,Target,27.409,0.394,27.471,3.474,0.42,0,1,0.747,1.338,,,0.2,Manual,Manual,3,15
Tr2,adequate,uninoculated,_,18,B6,25,MYB,Target,26.934,0.393,26.722,3.635,0.471,0.161,0.895,0.645,1.24,,,0.2,Manual,Manual,3,15
Tr2,adequate,inoculated,Det,19,B7,32,MYB,Target,26.193,0.282,26.262,2.058,0.287,-1.415,2.667,2.186,3.254,,,0.2,Manual,Manual,3,15
Tr2,adequate,inoculated,Det,20,B8,35,MYB,Target,28.269,0.266,28.374,4.041,0.297,0.567,0.675,0.549,0.83,,,0.2,Manual,Manual,3,15
Tr2,excess,uninoculated,_,21,B9,44,MYB,Target,26.619,0.317,26.745,2.445,0.326,-1.029,2.04,1.628,2.557,,,0.2,Manual,Manual,3,15
Tr2,excess,uninoculated,_,22,B10,45,MYB,Target,27.638,0.166,27.796,3.584,0.188,0.11,0.927,0.813,1.055,,,0.2,Manual,Manual,3,15
Tr2,excess,inoculated,Det,23,B11,51,MYB,Target,28.526,0.222,28.623,4.319,0.224,0.846,0.557,0.477,0.65,,,0.2,Manual,Manual,3,15
Tr2,excess,inoculated,Det,24,B12,55,MYB,Target,27.363,0.17,27.431,3.365,0.208,-0.109,1.079,0.933,1.246,,,0.2,Manual,Manual,3,15
Tr2,deficit,uninoculated,_,25,C1,1,MYB,Target,26.91,0.161,27.07,2.998,0.182,-0.476,1.391,1.226,1.577,,,0.2,Manual,Manual,3,15
Tr2,deficit,uninoculated,_,26,C2,5,MYB,Target,26.869,0.162,27.053,3.392,0.179,-0.082,1.058,0.935,1.198,,,0.2,Manual,Manual,3,15
Tr2,deficit,inoculated,Det,27,C3,12,MYB,Target,25.058,0.321,25.284,2.423,0.334,-1.051,2.072,1.643,2.612,,,0.2,Manual,Manual,3,15
Tr2,deficit,inoculated,Det,28,C4,13,MYB,Target,26.551,0.348,26.894,3.132,0.37,-0.342,1.267,0.98,1.638,,,0.2,Manual,Manual,3,15
Tr2,adequate,uninoculated,_,29,C5,24,MYB,Target,27.113,0.394,27.471,3.474,0.42,0,1,0.747,1.338,,,0.2,Manual,Manual,3,15
Tr2,adequate,uninoculated,_,30,C6,25,MYB,Target,26.269,0.393,26.722,3.635,0.471,0.161,0.895,0.645,1.24,,,0.2,Manual,Manual,3,15
Tr2,adequate,inoculated,Det,31,C7,32,MYB,Target,26.02,0.282,26.262,2.058,0.287,-1.415,2.667,2.186,3.254,,,0.2,Manual,Manual,3,15
Tr2,adequate,inoculated,Det,32,C8,35,MYB,Target,28.176,0.266,28.374,4.041,0.297,0.567,0.675,0.549,0.83,,,0.2,Manual,Manual,3,15
Tr2,excess,uninoculated,_,33,C9,44,MYB,Target,26.509,0.317,26.745,2.445,0.326,-1.029,2.04,1.628,2.557,,,0.2,Manual,Manual,3,15
Tr2,excess,uninoculated,_,34,C10,45,MYB,Target,27.782,0.166,27.796,3.584,0.188,0.11,0.927,0.813,1.055,,,0.2,Manual,Manual,3,15
Tr2,excess,inoculated,Det,35,C11,51,MYB,Target,28.466,0.222,28.623,4.319,0.224,0.846,0.557,0.477,0.65,,,0.2,Manual,Manual,3,15
Tr2,excess,inoculated,Det,36,C12,55,MYB,Target,27.306,0.17,27.431,3.365,0.208,-0.109,1.079,0.933,1.246,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,1,A1,6,MYB,Target,27.045,0.017,26.216,1.657,0.476,-0.181,1.134,0.815,1.578,,Outlier,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,2,A2,9,MYB,Target,26.774,1.461,27.391,2.424,1.468,0.586,0.666,0.241,1.844,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,3,A3,17,MYB,Target,25.935,0.266,25.629,1.46,0.275,-0.379,1.301,1.075,1.574,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,4,A4,18,MYB,Target,27.447,0.753,27.721,2.593,0.76,0.754,0.593,0.35,1.004,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,5,A5,26,MYB,Target,26.166,0.341,25.776,1.839,0.387,0,1,0.765,1.308,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,6,A6,30,MYB,Target,25.791,0.221,25.542,2.293,0.265,0.455,0.73,0.607,0.877,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,7,A7,36,MYB,Target,28.001,0.454,27.503,2.764,0.454,0.925,0.527,0.384,0.721,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,8,A8,37,MYB,Target,27.73,0.248,27.464,2.276,0.297,0.438,0.738,0.601,0.907,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,9,A9,46,MYB,Target,28.125,0.144,27.96,3.044,0.36,1.205,0.434,0.338,0.557,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,10,A10,50,MYB,Target,29.748,0.213,29.504,2.228,0.254,0.389,0.763,0.64,0.91,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,11,A11,57,MYB,Target,29.574,0.395,29.166,3.866,0.539,2.027,0.245,0.169,0.356,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,12,A12,59,MYB,Target,28.391,0.173,28.217,3.004,0.19,1.165,0.446,0.391,0.509,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,13,B1,6,MYB,Target,26.204,0.017,26.216,1.657,0.476,-0.181,1.134,0.815,1.578,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,14,B2,9,MYB,Target,26.341,1.461,27.391,2.424,1.468,0.586,0.666,0.241,1.844,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,15,B3,17,MYB,Target,25.486,0.266,25.629,1.46,0.275,-0.379,1.301,1.075,1.574,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,16,B4,18,MYB,Target,27.143,0.753,27.721,2.593,0.76,0.754,0.593,0.35,1.004,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,17,B5,26,MYB,Target,25.631,0.341,25.776,1.839,0.387,0,1,0.765,1.308,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,18,B6,30,MYB,Target,25.368,0.221,25.542,2.293,0.265,0.455,0.73,0.607,0.877,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,19,B7,36,MYB,Target,27.395,0.454,27.503,2.764,0.454,0.925,0.527,0.384,0.721,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,20,B8,37,MYB,Target,27.422,0.248,27.464,2.276,0.297,0.438,0.738,0.601,0.907,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,21,B9,46,MYB,Target,27.899,0.144,27.96,3.044,0.36,1.205,0.434,0.338,0.557,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,22,B10,50,MYB,Target,29.353,0.213,29.504,2.228,0.254,0.389,0.763,0.64,0.91,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,23,B11,57,MYB,Target,28.786,0.395,29.166,3.866,0.539,2.027,0.245,0.169,0.356,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,24,B12,59,MYB,Target,28.212,0.173,28.217,3.004,0.19,1.165,0.446,0.391,0.509,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,25,C1,6,MYB,Target,26.228,0.017,26.216,1.657,0.476,-0.181,1.134,0.815,1.578,,,0.2,Manual,Manual,3,15
Tr3,deficit,uninoculated,_,26,C2,9,MYB,Target,29.06,1.461,27.391,2.424,1.468,0.586,0.666,0.241,1.844,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,27,C3,17,MYB,Target,25.465,0.266,25.629,1.46,0.275,-0.379,1.301,1.075,1.574,,,0.2,Manual,Manual,3,15
Tr3,deficit,inoculated,Det,28,C4,18,MYB,Target,28.572,0.753,27.721,2.593,0.76,0.754,0.593,0.35,1.004,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,29,C5,26,MYB,Target,25.532,0.341,25.776,1.839,0.387,0,1,0.765,1.308,,,0.2,Manual,Manual,3,15
Tr3,adequate,uninoculated,_,30,C6,30,MYB,Target,25.466,0.221,25.542,2.293,0.265,0.455,0.73,0.607,0.877,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,31,C7,36,MYB,Target,27.113,0.454,27.503,2.764,0.454,0.925,0.527,0.384,0.721,,,0.2,Manual,Manual,3,15
Tr3,adequate,inoculated,Det,32,C8,37,MYB,Target,27.24,0.248,27.464,2.276,0.297,0.438,0.738,0.601,0.907,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,33,C9,46,MYB,Target,27.857,0.144,27.96,3.044,0.36,1.205,0.434,0.338,0.557,,,0.2,Manual,Manual,3,15
Tr3,excess,uninoculated,_,34,C10,50,MYB,Target,29.412,0.213,29.504,2.228,0.254,0.389,0.763,0.64,0.91,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,35,C11,57,MYB,Target,29.138,0.395,29.166,3.866,0.539,2.027,0.245,0.169,0.356,,,0.2,Manual,Manual,3,15
Tr3,excess,inoculated,Det,36,C12,59,MYB,Target,28.046,0.173,28.217,3.004,0.19,1.165,0.446,0.391,0.509,,,0.2,Manual,Manual,3,15